,idEdu,coberturaNeta
0,edu1,100.47
1,edu2,105.73
2,edu3,108.43
3,edu4,97.96
4,edu5,106.63
5,edu6,105.21
6,edu7,103.18
7,edu8,101.16
8,edu9,0.0
9,edu10,98.15
10,edu11,83.2
11,edu12,94.84
12,edu13,78.29
13,edu14,82.09
14,edu15,81.28
15,edu16,97.16
16,edu17,93.61
17,edu18,90.89
18,edu19,81.57
19,edu20,79.75
20,edu21,88.29
21,edu22,91.69
22,edu23,95.72
23,edu24,94.84
24,edu25,64.34
25,edu26,0.0
26,edu27,90.5
27,edu28,65.76
28,edu29,95.76
29,edu30,119.29
30,edu31,80.52
31,edu32,77.12
32,edu33,74.79
33,edu34,73.06
34,edu35,71.08
35,edu36,69.26
36,edu37,65.44
37,edu38,63.61
38,edu39,79.39
39,edu40,97.55
40,edu41,94.29
41,edu42,90.46
42,edu43,87.38
43,edu44,99.52
44,edu45,96.38
45,edu46,76.63
46,edu47,97.72
47,edu48,74.31
48,edu49,0.0
49,edu50,84.6
50,edu51,81.43
51,edu52,78.67
52,edu53,76.88
53,edu54,77.99
54,edu55,75.4
55,edu56,85.33
56,edu57,0.0
57,edu58,89.09
58,edu59,75.59
59,edu60,70.75
60,edu61,60.07
61,edu62,96.65
62,edu63,67.1
63,edu64,63.94
64,edu65,63.26
65,edu66,92.71
66,edu67,0.0
67,edu68,60.35
68,edu69,78.18
69,edu70,84.48
70,edu71,91.05
71,edu72,94.6
72,edu73,91.57
73,edu74,93.96
74,edu75,96.11
75,edu76,93.6
76,edu77,92.32
77,edu78,82.48
78,edu79,78.06
79,edu80,0.0
80,edu81,93.29
81,edu82,93.63
82,edu83,92.2
83,edu84,99.69
84,edu85,106.21
85,edu86,98.96
86,edu87,88.82
87,edu88,91.19
88,edu89,0.0
89,edu90,84.46
90,edu91,85.17
91,edu92,80.22
92,edu93,0.0
93,edu94,87.43
94,edu95,75.21
95,edu96,101.04
96,edu97,66.78
97,edu98,64.98
98,edu99,63.95
99,edu100,60.75
100,edu101,59.01
101,edu102,56.71
102,edu103,62.12
103,edu104,85.37
104,edu105,152.79
105,edu106,82.46
106,edu107,82.77
107,edu108,77.83
108,edu109,76.25
109,edu110,72.89
110,edu111,72.15
111,edu112,69.91
112,edu113,78.21
113,edu114,65.86
114,edu115,86.33
115,edu116,0.0
116,edu117,92.29
117,edu118,90.62
118,edu119,93.93
119,edu120,89.63
120,edu121,102.84
121,edu122,103.81
122,edu123,81.22
123,edu124,80.57
124,edu125,79.33
125,edu126,81.27
126,edu127,80.17
127,edu128,78.45
