,idMin,recurso,cantidad,unidades
0,min1,RECEBO,228661.0,METROS CUBICOS
1,min2,ARCILLAS MISCELANEAS,178841.0,TONELADAS
2,min3,GRAVAS,80463.0,METROS CUBICOS
3,min4,ARCILLAS MISCELANEAS,126090.0,TONELADAS
4,min5,GRAVAS,113543.0,METROS CUBICOS
5,min6,GRAVAS,377913.0,METROS CUBICOS
6,min7,RECEBO,326364.0,METROS CUBICOS
7,min8,GRAVAS,465402.0,METROS CUBICOS
8,min9,ARENAS,93217.0,METROS CUBICOS
9,min10,ARENAS,115021.0,METROS CUBICOS
10,min11,RECEBO,7350.0,METROS CUBICOS
11,min12,CALIZAS,366485.0,TONELADAS
12,min13,CALIZAS,251643.0,TONELADAS
13,min14,CALIZAS,130491.0,TONELADAS
14,min15,CALIZAS,19435.0,TONELADAS
15,min16,CALIZAS,88140.0,TONELADAS
16,min17,CALIZAS,353617.0,TONELADAS
17,min18,CALIZAS,426007.0,TONELADAS
18,min19,CALIZAS,368212.0,TONELADAS
19,min20,CALIZAS,342919.0,TONELADAS
20,min21,ORO,3603.0,GRAMOS
21,min22,ORO,8432.0,GRAMOS
22,min23,ORO,1166.0,GRAMOS
23,min24,ORO,11249.0,GRAMOS
24,min25,ORO,21129.0,GRAMOS
25,min26,ORO,5251.0,GRAMOS
26,min27,ORO,3181.0,GRAMOS
27,min28,ORO,6297.0,GRAMOS
28,min29,ORO,1557.0,GRAMOS
29,min30,ORO,4509.0,GRAMOS
30,min31,ARCILLAS MISCELANEAS,68319.0,TONELADAS
31,min32,CARBON,237922.0,TONELADAS
32,min33,CARBON,196432.0,TONELADAS
33,min34,CARBON,310249.0,TONELADAS
34,min35,CARBON,119777.0,TONELADAS
35,min36,CARBON,75319.0,TONELADAS
36,min37,ARCILLAS MISCELANEAS,23435.0,TONELADAS
37,min38,CARBON,43361.0,TONELADAS
38,min39,ARCILLAS MISCELANEAS,16577.0,TONELADAS
39,min40,ORO,516056.0,GRAMOS
40,min41,ORO,617844.0,GRAMOS
41,min42,ORO,421286.0,GRAMOS
42,min43,ORO,374961.0,GRAMOS
43,min44,ORO,295911.0,GRAMOS
44,min45,ORO,420252.0,GRAMOS
45,min46,ORO,254138.0,GRAMOS
46,min47,ORO,362227.0,GRAMOS
47,min48,ORO,304306.0,GRAMOS
48,min49,ORO,150224.0,GRAMOS
49,min50,ORO,15852.0,GRAMOS
50,min51,ORO,46854.0,GRAMOS
51,min52,ORO,12426.0,GRAMOS
52,min53,ORO,75141.0,GRAMOS
53,min54,ORO,443497.0,GRAMOS
54,min55,GRAVAS,5012.0,METROS CUBICOS
55,min56,ORO,131986.0,GRAMOS
56,min57,ORO,43836.0,GRAMOS
57,min58,ORO,13596.0,GRAMOS
58,min59,ARCILLAS CERAMICAS,36110.0,TONELADAS
59,min60,ARCILLAS CERAMICAS,39383.0,TONELADAS
60,min61,ARCILLAS CERAMICAS,24631.0,TONELADAS
61,min62,SERPENTINA (SILICATO DE MAGNESIO),22171.0,TONELADAS
62,min63,ARCILLAS CERAMICAS,31956.0,TONELADAS
63,min64,ARCILLAS CERAMICAS,8548.0,TONELADAS
64,min65,CARBON,1732.0,TONELADAS
65,min66,SERPENTINA (SILICATO DE MAGNESIO),20813.0,TONELADAS
66,min67,SERPENTINA (SILICATO DE MAGNESIO),5524.0,TONELADAS
67,min68,SERPENTINA (SILICATO DE MAGNESIO),18640.0,TONELADAS
68,min69,ORO,583555.0,GRAMOS
69,min70,ORO,272797.0,GRAMOS
70,min71,ORO,97160.0,GRAMOS
71,min72,ORO,273118.0,GRAMOS
72,min73,ORO,804491.0,GRAMOS
73,min74,ORO,695122.0,GRAMOS
74,min75,ORO,825668.0,GRAMOS
75,min76,ORO,40383.0,GRAMOS
76,min77,ORO,61946.0,GRAMOS
77,min78,ORO,37189.0,GRAMOS
78,min79,ORO,163852.0,GRAMOS
79,min80,ORO,143095.0,GRAMOS
80,min81,ORO,211673.0,GRAMOS
81,min82,ARENAS,2906.0,METROS CUBICOS
82,min83,ORO,31874.0,GRAMOS
83,min84,ARENAS,56344.0,METROS CUBICOS
