,idDem,cantMujeres,porcentajeMujeres
0,dem1,305373.0,52.55
1,dem2,1966.0,47.61
2,dem3,4009.0,48.72
3,dem4,5384.0,51.34
4,dem5,104537.0,51.36
5,dem6,2775.0,46.71
6,dem7,971.0,50.13
7,dem8,2733.0,49.65
8,dem9,986.0,48.93
9,dem10,6174.0,50.32
10,dem11,1394.0,48.27
11,dem12,15964.0,48.45
12,dem13,1852.0,50.34
13,dem14,2348.0,46.82
14,dem15,6371.0,50.1
15,dem16,10067.0,48.13
16,dem17,1685.0,48.69
17,dem18,154300.0,52.85
18,dem19,1912.0,47.55
19,dem20,81726.0,50.95
20,dem21,2796.0,47.26
21,dem22,5015.0,48.3
22,dem23,2354.0,47.53
23,dem24,6768.0,47.98
24,dem25,10927.0,52.17
25,dem26,2364.0,47.51
26,dem27,5214.0,49.53
27,dem28,5368.0,49.7
28,dem29,87839.0,51.48
29,dem30,2522.0,48.86
30,dem31,12471.0,47.17
31,dem32,16286.0,49.27
32,dem33,29239.0,52.18
33,dem34,2107.0,48.25
34,dem35,1175.0,46.42
35,dem36,15822.0,47.75
36,dem37,16520.0,51.37
37,dem38,3494.0,48.51
38,dem39,1037.0,49.05
39,dem40,4013.0,50.97
40,dem41,143325.0,51.6
41,dem42,7289.0,47.86
42,dem43,34132.0,50.66
43,dem44,8519.0,48.09
44,dem45,24343.0,49.05
45,dem46,10476.0,49.09
46,dem47,276460.0,52.2
47,dem48,4265.0,49.04
48,dem49,3262.0,49.0
49,dem50,6243.0,49.17
50,dem51,5054.0,49.96
51,dem52,24737.0,49.11
52,dem53,4050.0,49.1
53,dem54,11162.0,48.93
54,dem55,35824.0,50.82
55,dem56,14408.0,50.75
56,dem57,16640.0,50.52
57,dem58,12566.0,50.89
58,dem59,5714.0,48.07
59,dem60,9444.0,50.85
60,dem61,18596.0,50.57
61,dem62,18036.0,49.37
62,dem63,16674.0,48.18
63,dem64,3192.0,47.56
64,dem65,10512.0,48.5
65,dem66,7336.0,50.82
66,dem67,6674.0,49.24
67,dem68,2705.0,46.89
68,dem69,1854.0,48.62
69,dem70,2604.0,48.72
70,dem71,6239.0,48.68
71,dem72,2422.0,47.23
72,dem73,165349.0,51.99
73,dem74,18728.0,49.22
74,dem75,15769.0,50.16
75,dem76,20481.0,48.75
76,dem77,15180.0,50.3
77,dem78,12599.0,49.83
78,dem79,26249.0,48.71
79,dem80,10497.0,53.36
80,dem81,13882.0,50.27
81,dem82,5247.0,48.81
82,dem83,9156.0,49.28
83,dem84,11250.0,49.59
84,dem85,15973.0,50.93
85,dem86,19160.0,49.33
86,dem87,22376.0,48.88
87,dem88,18912.0,51.32
88,dem89,22282.0,53.54
89,dem90,5587.0,48.69
90,dem91,56586.0,51.23
91,dem92,6989.0,50.14
92,dem93,15727.0,49.29
93,dem94,17901.0,50.46
94,dem95,12896.0,49.41
95,dem96,12241.0,49.85
96,dem97,11070.0,53.5
97,dem98,251661.0,51.35
98,dem99,56363.0,51.42
99,dem100,30185.0,49.67
100,dem101,9783.0,48.62
101,dem102,10572.0,48.92
102,dem103,19879.0,49.67
103,dem104,16958.0,49.63
104,dem105,13874.0,50.1
105,dem106,18772.0,50.19
