,idVio,homiMuj,violenciaMuj,tasaVioMuj,cSecuestros,cDesplazadas,cDesplaExp,cHomicidios
0,vio1,0.0,18290.0,2316.0,0,0,0,1308960.0
1,vio2,0.0,50.0,1047.0,0,0,0,100790.0
2,vio3,0.0,30.0,4953.0,0,0,0,19390.0
3,vio4,0.0,160.0,4336.0,0,0,0,20320.0
4,vio5,0.0,730.0,2231.0,0,0,0,87380.0
5,vio6,0.0,130.0,6435.0,0,0,0,44800.0
6,vio7,0.0,0.0,434.0,0,0,0,17900.0
7,vio8,0.0,570.0,5707.0,0,0,0,145040.0
8,vio9,0.0,60.0,6826.0,0,0,0,38810.0
9,vio10,0.0,1960.0,2958.0,0,0,0,753500.0
10,vio11,0.0,200.0,3487.0,0,0,0,43810.0
11,vio12,0.0,1450.0,1732.0,0,0,0,107570.0
12,vio13,0.0,1050.0,23036.0,0,0,0,71710.0
13,vio14,0.0,430.0,4593.0,0,0,0,69740.0
14,vio15,0.0,2650.0,4008.0,0,0,0,200250.0
15,vio16,0.0,80.0,9604.0,0,0,0,33640.0
16,vio17,0.0,90.0,0.0,0,0,0,11540.0
17,vio18,10.0,1060.0,4432.0,0,0,0,213870.0
18,vio19,0.0,2400.0,4674.0,0,0,0,235660.0
19,vio20,0.0,1070.0,4617.0,0,0,0,352880.0
20,vio21,0.0,70.0,2365.0,0,0,0,10010.0
21,vio22,0.0,80.0,1293.0,0,0,0,5700.0
22,vio23,0.0,4130.0,2388.0,0,0,0,437570.0
23,vio24,0.0,60.0,5638.0,0,0,0,7770.0
24,vio25,0.0,450.0,3123.0,0,0,0,166010.0
25,vio26,0.0,210.0,881.0,0,0,0,11700.0
26,vio27,0.0,0.0,3812.0,0,0,0,8480.0
27,vio28,0.0,130.0,6948.0,0,0,0,20750.0
28,vio29,0.0,1540.0,8879.0,0,0,0,367700.0
29,vio30,0.0,230.0,7355.0,0,0,0,14450.0
30,vio31,0.0,60.0,775.0,0,0,0,10710.0
31,vio32,0.0,100.0,207.0,0,0,0,84020.0
32,vio33,0.0,90.0,5231.0,0,0,0,57380.0
33,vio34,0.0,60.0,1493.0,0,0,0,28950.0
34,vio35,0.0,340.0,2785.0,0,0,0,404850.0
35,vio36,0.0,390.0,1066.0,0,0,0,470930.0
36,vio37,0.0,2100.0,1433.0,0,0,0,151730.0
37,vio38,0.0,40.0,15106.0,0,0,0,4440.0
38,vio39,0.0,1140.0,7827.0,0,0,0,89890.0
39,vio40,0.0,280.0,1577.0,0,0,0,26380.0
40,vio41,0.0,0.0,2393.0,0,0,0,21720.0
41,vio42,0.0,910.0,6207.0,0,0,0,117300.0
42,vio43,0.0,0.0,0.0,0,0,0,7010.0
43,vio44,0.0,70.0,2093.0,0,0,0,21420.0
44,vio45,0.0,210.0,6104.0,0,0,0,64100.0
45,vio46,0.0,270.0,8587.0,0,0,0,98710.0
46,vio47,0.0,140.0,1241.0,0,0,0,361950.0
47,vio48,0.0,0.0,1954.0,0,0,0,170510.0
48,vio49,0.0,420.0,1912.0,0,0,0,141960.0
49,vio50,0.0,150.0,549.0,0,0,0,305740.0
50,vio51,0.0,90.0,3632.0,0,0,0,95260.0
51,vio52,0.0,130.0,5057.0,0,0,0,32880.0
52,vio53,0.0,10.0,2736.0,0,0,0,23940.0
53,vio54,0.0,0.0,3932.0,0,0,0,48690.0
54,vio55,0.0,3180.0,9222.0,0,0,0,159380.0
55,vio56,0.0,140.0,2018.0,0,0,0,237810.0
56,vio57,0.0,70.0,9373.0,0,0,0,13670.0
57,vio58,0.0,3840.0,7098.0,0,0,0,300710.0
58,vio59,0.0,10.0,0.0,0,0,0,6300.0
59,vio60,0.0,3380.0,542.0,0,0,0,1349240.0
60,vio61,0.0,500.0,2832.0,0,0,0,398120.0
61,vio62,0.0,2750.0,11143.0,0,0,0,98260.0
62,vio63,0.0,0.0,3262.0,0,0,0,4780.0
63,vio64,0.0,220.0,15371.0,0,0,0,57420.0
64,vio65,0.0,70.0,9843.0,0,0,0,9690.0
65,vio66,0.0,50.0,10606.0,0,0,0,19760.0
66,vio67,0.0,1340.0,4167.0,0,0,0,82260.0
67,vio68,0.0,350.0,3098.0,0,0,0,172530.0
68,vio69,0.0,1070.0,2857.0,0,0,0,172400.0
69,vio70,0.0,110.0,173.0,0,0,0,39690.0
70,vio71,0.0,60.0,2309.0,0,0,0,35840.0
71,vio72,0.0,260.0,2087.0,0,0,0,41780.0
72,vio73,0.0,0.0,1791.0,0,0,0,7110.0
73,vio74,0.0,0.0,4694.0,0,0,0,5520.0
74,vio75,0.0,60.0,372.0,0,0,0,15450.0
75,vio76,0.0,0.0,280.0,0,0,0,7890.0
76,vio77,0.0,400.0,193.0,0,0,0,41290.0
77,vio78,0.0,40.0,1894.0,0,0,0,10560.0
78,vio79,0.0,50.0,2179.0,0,0,0,29490.0
79,vio80,0.0,0.0,1085.0,0,0,0,5810.0
80,vio81,0.0,10.0,323.0,0,0,0,14870.0
81,vio82,0.0,0.0,1594.0,0,0,0,47580.0
82,vio83,0.0,0.0,679.0,0,0,0,9210.0
83,vio84,0.0,0.0,125.0,0,0,0,34710.0
84,vio85,0.0,40.0,0.0,0,0,0,4060.0
85,vio86,0.0,40.0,738.0,0,0,0,17940.0
86,vio87,0.0,0.0,4864.0,0,0,0,12690.0
87,vio88,0.0,40.0,1197.0,0,0,0,8970.0
88,vio89,0.0,20.0,806.0,0,0,0,6800.0
89,vio90,10.0,1030.0,2053.0,0,0,0,68540.0
90,vio91,0.0,450.0,5768.0,0,0,0,99850.0
91,vio92,0.0,1330.0,3572.0,0,0,0,172770.0
92,vio93,0.0,740.0,5982.0,0,0,0,191560.0
93,vio94,0.0,770.0,2883.0,0,0,0,138190.0
94,vio95,0.0,450.0,13549.0,0,0,0,88450.0
95,vio96,0.0,1230.0,10395.0,0,0,0,73860.0
96,vio97,0.0,3050.0,7319.0,0,0,0,334940.0
97,vio98,0.0,150.0,8042.0,0,0,0,2400.0
98,vio99,0.0,2290.0,3348.0,0,0,0,182200.0
99,vio100,0.0,330.0,1893.0,0,0,0,33190.0
100,vio101,0.0,300.0,1885.0,0,0,0,35190.0
101,vio102,0.0,2750.0,1458.0,0,0,0,211220.0
102,vio103,0.0,1060.0,8264.0,0,0,0,79020.0
103,vio104,0.0,910.0,3155.0,0,0,0,74030.0
104,vio105,0.0,830.0,2656.0,0,0,0,105750.0
105,vio106,0.0,490.0,223.0,0,0,0,69770.0
106,vio107,0.0,1240.0,6776.0,0,0,0,143590.0
107,vio108,0.0,520.0,10875.0,0,0,0,22430.0
108,vio109,0.0,310.0,297.0,0,0,0,34160.0
109,vio110,0.0,1010.0,5388.0,0,0,0,85380.0
110,vio111,0.0,150.0,1737.0,0,0,0,23570.0
111,vio112,0.0,680.0,12399.0,0,0,0,204160.0
112,vio113,0.0,240.0,2877.0,0,0,0,56740.0
113,vio114,0.0,4500.0,5032.0,0,0,0,211950.0
114,vio115,0.0,250.0,483.0,0,0,0,29140.0
